Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Radar_Score,Threshold,Distance_%,Z_Score,Prev_Close
247,DIA,496.13,1.8,0.82,0.9493,1.4068,20.0247,-92.97,-0.16,495.91
248,ESS,263.55,5.01,0.49,0.4339,1.0643,15.4084,-93.09,0.07,267.37
249,HDV,26.83,0.14,0.79,0.8428,0.092,1.3469,-93.17,-0.11,26.91
250,BNS,77.53,0.75,0.52,0.9586,0.3704,5.5991,-93.38,-0.27,78.09
251,TTE,88.48,1.17,0.46,0.8796,0.4759,7.2368,-93.42,-0.23,88.73
252,VZ,47.22,0.78,0.4,0.7517,0.2366,3.6856,-93.58,-0.08,47.09
253,RJF,154.33,2.09,0.63,0.6399,0.8419,14.4265,-94.16,-0.11,153.53
254,BTBT,1.8,0.16,1.28,0.1667,0.0341,0.5855,-94.18,-0.1,1.83
255,BITO,10.96,0.52,1.04,0.2616,0.1398,2.4165,-94.22,-0.08,10.96
256,INCY,98.56,1.64,0.6,0.7662,0.753,13.2676,-94.32,-0.14,97.77
257,VYM,155.46,0.38,0.93,0.9581,0.3396,6.0687,-94.4,-0.24,155.16
258,CZR,28.04,0.39,0.46,0.4598,0.0829,1.4945,-94.45,-0.08,27.78
259,AFG,131.32,1.34,0.57,0.6574,0.5039,9.083,-94.45,-0.08,131.7
260,IBIT,45.45,2.2,0.6,0.2779,0.3664,7.3692,-95.03,-0.03,45.4
261,KLTR,1.38,0.13,0.91,0.1841,0.0218,0.4395,-95.04,-0.11,1.4
262,MAT,15.39,0.48,1.34,0.1688,0.1086,2.243,-95.16,-0.03,15.0
263,V,318.79,4.85,0.69,0.3134,1.0434,23.2202,-95.51,-0.11,321.28
264,PAYC,136.87,3.89,0.98,0.1999,0.7634,17.9384,-95.74,0.0,138.43
265,MSTR,187.59,16.78,0.82,0.2363,3.2539,77.0197,-95.78,-0.12,179.84
266,JPIN,74.98,0.19,0.9,0.9307,0.157,3.7966,-95.87,-0.19,74.15
267,TD,107.46,1.02,0.29,0.969,0.2909,7.1844,-95.95,-0.46,107.7
268,EOG,130.03,0.87,0.89,0.6071,0.4678,11.9707,-96.09,-0.13,130.89
269,SOUN,8.88,0.56,1.4,0.1867,0.1466,3.9636,-96.3,-0.15,9.63
270,SPCE,2.94,0.02,1.96,0.1796,0.007,0.1923,-96.35,-0.1,2.51
271,CNI,111.64,0.44,0.61,0.8393,0.2264,6.2407,-96.37,-0.14,110.84
272,GPRO,1.37,0.09,0.34,0.3665,0.0111,0.3299,-96.64,-0.13,1.39
273,CUBE,40.46,0.21,0.43,0.8548,0.0768,2.3101,-96.67,0.0,40.25
274,PGX,11.19,0.03,0.4,0.8256,0.0099,0.3001,-96.69,-0.01,11.16
275,TEF.MC,3.87,0.01,1.19,0.4357,0.0078,0.2364,-96.71,-0.16,3.91
276,EBAY,107.69,0.56,0.71,0.931,0.3693,11.4175,-96.77,-0.24,106.42
277,BRK-B,475.94,3.86,1.0,0.244,0.9427,29.1466,-96.77,-0.09,475.08
278,EXFY,1.02,0.13,0.96,0.1009,0.0123,0.4068,-96.99,-0.02,1.11
279,XLY,120.2,0.33,0.78,0.8828,0.2272,7.6092,-97.01,-0.18,119.88
280,BBAI,4.18,0.34,0.89,0.2275,0.069,2.3245,-97.03,-0.18,4.17
281,SNAP,6.08,0.08,0.7,0.2852,0.016,0.5522,-97.1,-0.17,5.98
282,KB,111.14,0.72,0.62,0.8844,0.3976,13.7144,-97.1,-0.26,109.79
283,AU,107.03,0.54,1.0,0.8028,0.4336,15.2196,-97.15,-0.23,100.23
284,ADBE,253.04,4.41,0.68,0.1197,0.3596,12.764,-97.18,0.0,256.51
285,ACHR,6.48,0.37,1.45,0.1711,0.0917,3.2932,-97.21,-0.18,6.28
286,SLV,73.01,0.86,0.84,0.5578,0.401,15.6101,-97.43,-0.29,71.6
287,BTDR,13.47,0.44,0.86,0.3163,0.1193,4.6557,-97.44,-0.17,13.84
288,IGOV,42.27,0.16,0.28,0.8446,0.0376,1.4656,-97.44,-0.13,42.06
289,OKLO,72.51,4.38,0.6,0.3123,0.8164,37.5964,-97.83,-0.26,71.83
290,B,43.13,0.17,0.99,0.7168,0.1201,6.3953,-98.12,-0.26,41.84
291,UL,58.4,0.44,1.1,0.1773,0.0858,4.5673,-98.12,-0.07,58.73
292,PATH,10.79,0.23,0.89,0.143,0.0293,1.6102,-98.18,-0.13,10.93
293,WIX,80.12,4.57,0.9,0.1065,0.4364,25.0013,-98.25,-0.1,80.34
294,QBTS,22.57,0.91,0.58,0.4284,0.2257,13.3676,-98.31,-0.29,21.99
